AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
20000.0,4.0,1.0,1312.0,6.0,6.0,1.0,10.0,1.0,0.0,0.0,19.0,558.0,12.54,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
148000.0,6.0,1.0,1801.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,40.0,2284.0,10.14,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
15000.0,24.0,6.0,1033.0,64.0,4.0,3.0,1.0,1.0,0.0,0.0,16.0,1659.0,14.05,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
20000.0,9.0,1.0,567.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,6.0,209.0,8.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,14.0,1.0,834.0,14.0,2.0,3.0,3.0,1.0,0.0,0.0,11.0,471.0,10.22,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
20000.0,18.0,1.0,1069.0,11.0,1.0,5.0,3.0,1.0,0.0,0.0,12.0,424.0,7.42,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
28000.0,10.0,1.0,959.0,53.0,1.0,4.0,5.0,0.0,1.0,383.0,7.0,259.0,9.68,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
11200.0,34.0,1.0,1961.0,1.0,1.0,2.0,1.0,1.0,1.0,447.0,10.0,389.0,8.52,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
50000.0,8.0,1.0,2498.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,22.0,2301.0,15.09,9454.0,66.0,182.0,4908.0,204.0,1.0
17000.0,4.0,1.0,759.0,3.0,1.0,1.0,3.0,0.0,1.0,830.0,8.0,317.0,7.94,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
