Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
185,Books,13.48,6,1081,4.5
238,Home Kitchen,19.53,4,5504,5
98,Kindle Store,19.53,4,5504,4.2
354,Electronics,19.53,3,2655,2.8
65,Industrial Scientific,379,5,3884,3.8
283,Sports Outdoors,21.02,2,3156,4
49,Clothing Shoes Jewelry,29.95,9,5367,4.1
287,Home Kitchen,105,7,1886,3.6
207,Movies TV,105,1,1383,3.1
8,Grocery Gourmet Food,15.99,4,2967,4.1
217,Digital Music,8.99,4,2967,4.9
111,Grocery Gourmet Food,13.98,6,373,4.7
292,Home Kitchen,29.99,6,3139,3.5
54,Arts Crafts Sewing,229.02,3,4500,3.5
202,Home Kitchen,99.99,9,4060,3.4
134,Amazon Video,4.99,9,4060,3.4
116,Beauty Personal Care,19.96,3,5430,5
85,Home Kitchen,285.47,9,6857,4.2
113,Digital Music,3.96,9,6857,4.2
367,Toys Games,45,3,6228,5
199,Movies TV,45,3,642,4
330,Home Kitchen,499,9,4214,4
73,Home Kitchen,19.99,7,3680,4.3
146,Amazon Video,3.99,7,3680,4.3
311,Books,3.99,7,449,5
55,Tools Home Improvement,39.98,6,2262,3.3
215,Cell Phones Accessories,9.95,7,106,4.4
40,Pet Supplies,9.95,9,3889,3.4
296,Cell Phones Accessories,28.72,7,737,3
46,Industrial Scientific,95.99,9,4115,4
290,Amazon Launchpad,6.99,4,1857,3.7
218,Grocery Gourmet Food,28.23,9,3725,3.9
120,Toys Games,94.74,6,3528,4
119,Digital Music,6.99,6,3528,4.6
259,Books,6.99,6,373,5
342,Toys Games,358.24,7,342,3.9
129,Cell Phones Accessories,34.99,9,695,4.2
101,Cell Phones Accessories,29.95,9,734,4.6
329,Sports Outdoors,25.55,2,5150,3.5
249,Books,25.55,2,0,5
198,Digital Music,8.99,2,0,4.5
127,Patio Lawn Garden,173.99,7,1575,4.3
104,Electronics,29.94,4,5012,4.2
77,Tools Home Improvement,22.76,8,3344,4
145,Amazon Video,3.99,8,3344,4
124,Kindle Store,3.99,8,3344,5
135,Home Kitchen,35.36,5,3702,4.1
333,Cell Phones Accessories,89,6,3789,1.6
7,Grocery Gourmet Food,15.99,5,3012,4.2
345,Toys Games,39.99,7,5629,3.9
220,Home Kitchen,33.88,7,3387,4.6
188,Toys Games,149,5,3717,3.7
20,Amazon Launchpad,69.93,9,3778,4.6
88,Digital Music,0.99,9,3778,4.6
151,Tools Home Improvement,16.99,3,1349,3.8
260,Grocery Gourmet Food,16.99,4,4534,5
316,Toys Games,27.55,1,1356,5
334,Toys Games,299,9,2751,5
48,Baby Products,45,9,2082,3.7
176,Electronics,12,7,3225,4.2
275,Clothing Shoes Jewelry,650,5,1985,5
47,Amazon Video,3.99,5,1985,5
69,Musical Instruments,195.66,6,1989,2.9
122,Books,195.66,6,971,4.5
181,CDs Vinyl,195.66,4,1723,4.7
