Id,NumOfBackers,MoneyRaised,AmountPledged,FAQcount,UpdateCount,CommentsCount,ProjectCAtegory,ProjectLocation,ofImages,ofVideos,ofDescText,backersLeastRewards,backersMaxRewards,backedProjects,createdProjects,backerLocation,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,countSuperBacker,commentsText,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
150,954,62745,50000,1,44,36,Documentary,NY,24,1,1376,71,0,2,1,Manhattan,5,0,1,0,0,4,1,36,Movies TV,39.95,1,345,4.8
151,180,5413,5000,0,12,31,Product Design,NY,8,2,308,0,2,137,14,NY,3,5,0,1,129,11,6,31,Tools Home Improvement,16.99,3,1349,3.8
152,4586,542732,50000,9,35,1399,Product Design,CA,22,2,666,49,2,1,1,CA,2,0,0,0,0,124,219,1400,Office Products,29.15,7,6429,4.1
153,1878,136284,50000,3,37,434,Product Design,NY,25,1,1083,24,1,129,6,NY,4,0,1,1,775,142,192,434,Home Kitchen,35.02,5,4480,4.2
154,650,18856,10000,4,18,102,Product Design,MO,53,1,1585,9,50,10,3,CO,9,3,1,0,0,31,32,102,Electronics,21.98,7,2893,4.1
155,238,14405,10000,0,2,1,World Music,NY,0,1,281,45,1,14,2,MA,1,3,0,0,0,0,0,1,Digital Music,8.99,6,3139,4.8
156,257,10629,10000,0,20,51,Product Design,FL,9,1,377,6,0,5,1,FL,4,0,1,1,416,18,7,51,Cell Phones Accessories,29.95,9,3902,3.7
157,2655,132317,29000,2,18,265,Hardware,CA,6,1,837,110,0,2,1,CA,5,3,0,0,0,39,12,265,Electronics,29.95,3,2407,4.5
158,326,21091,7777,1,14,50,Product Design,France,31,1,582,22,6,14,1,France,5,10,1,0,0,20,13,50,Toys Games,49.95,9,2419,5
159,245,19504,12000,9,17,154,Product Design,CA,16,1,1028,9,2,5,2,CA,3,3,1,0,0,54,38,154,Cell Phones Accessories,19.99,8,4430,2.8
160,2375,67427,13000,2,10,48,Anthologies,Queens,26,1,1195,581,1,25,1,Queens,4,10,1,1,1175,2,8,48,Books,3.99,7,3053,4.7
161,1495,105042,20000,6,27,195,Documentary,IL,0,0,462,326,0,1,1,IL,2,3,0,0,0,34,2,195,Movies TV,12.99,1,507,4.7
162,502,12292,1600,0,16,52,Product Design,GA,24,1,1213,268,7,13,2,GA,1,0,1,1,416,20,14,56,Office Products,30,3,2394,3.1
163,860,71281,30000,9,18,190,Gadgets,CA,33,1,1444,713,0,2,2,CA,1,3,1,0,0,17,57,193,Sports Outdoors,74.96,7,2177,3.2
